xtf_id,Date,Power,Inclination,Orientation,PlantCategory,ElectricityProductionPlantR
detail_1,2017-05-17,4.16,,,,14727
detail_2,2017-03-31,1416.88,,,,11795
detail_3,2015-03-31,156.33,,,,14799
detail_4,2018-07-26,34.16,,,,14799
detail_5,2012-04-27,9.88,,,,12406
detail_6,2011-06-22,14.7,,,,16628
detail_7,2015-06-08,97.35,,,,16631
detail_8,2015-06-30,20.34,,,,16631
detail_9,2012-09-29,95.42,,,,16631
detail_10,2012-07-12,6.75,,,,12738
detail_11,2017-11-03,2.02,,,,12738
detail_12,2017-12-22,735.9,,,,16634
detail_13,2017-11-15,1,,,,10349
detail_14,2016-07-20,7.42,,,,16642
detail_15,2014-09-08,7.56,,,,17031
detail_16,2017-11-16,2.33,,,,17033
detail_17,2012-07-11,9.56,,,,17033
detail_18,2016-03-21,291.5,,,,17071
detail_19,2012-09-22,65,,,,17071
detail_20,2009-03-18,3.15,,,,9373
detail_21,2014-11-26,0.41,,,,9373
detail_22,2015-09-19,0.57,,,,9373
detail_23,2011-10-13,2.6,,,,9373
detail_24,2013-12-03,3.24,,,,9373
detail_25,2017-12-19,2.7,,,,9915
detail_26,2017-03-16,11.02,,,,16665
detail_27,2019-04-03,168.36,,,,17137
detail_28,2012-03-14,36.48,,,,9645
detail_29,2017-12-14,14.97,,,,9645
detail_30,2018-12-03,1.96,,,,12836
detail_31,2017-12-08,7.8,,,,10260
detail_32,2017-11-29,25.87,,,,12839
detail_33,2012-09-26,62.4,,,,12839
detail_34,2015-03-31,47.6,,,,17276
detail_35,2017-12-08,2.18,,,,10695
detail_36,2017-11-30,3.57,,,,17280
detail_37,2020-06-17,31.53,,,,12578
detail_38,2015-03-25,5.5,,,,17283
detail_39,2016-09-30,13.3,,,,9703
detail_40,2015-03-12,113.1,,,,17287
detail_41,2015-03-17,2.66,,,,12657
detail_42,2016-03-30,38.5,,,,17289
detail_43,2017-11-17,1.94,,,,17292
detail_44,2013-12-10,8.85,,,,10682
detail_45,2014-05-05,7.92,,,,10682
detail_46,2016-11-22,7.2,,,,10682
detail_47,2016-03-30,357.76,,,,17307
detail_48,2012-09-27,12.8,,,,12166
detail_49,2015-09-29,47.04,,,,12166
detail_50,2011-09-05,29.75,,,,17314
detail_51,2012-08-31,32.34,,,,17314
detail_52,2015-09-23,308.54,,,,12843
detail_53,2015-03-10,11.4,,,,11548
detail_54,2014-06-20,1.63,,,,17332
detail_55,2012-08-17,146.64,,,,17343
detail_56,2014-12-15,25.22,,,,17343
detail_57,2017-12-22,12.28,,,,15614
detail_58,2012-08-31,28.86,,,,17367
detail_59,2017-07-03,120.48,,,,17367
detail_60,2015-03-31,132.86,,,,14782
detail_61,2014-05-06,4.35,,,,14778
detail_62,2023-06-21,2.58,,,,10396
