xtf_id,Date,Power,Inclination,Orientation,PlantCategory,ElectricityProductionPlantR
detail_1,2017-05-17,4.16,,,plantcat_9,14727
detail_2,2017-03-31,1416.88,,,plantcat_8,11795
detail_3,2019-04-10,0.28,,,plantcat_8,14788
detail_4,2015-03-31,156.33,,,plantcat_8,14799
detail_5,2018-07-26,34.16,,,plantcat_8,14799
detail_6,2012-04-27,9.88,,,plantcat_8,12406
detail_7,2011-06-22,14.7,,,plantcat_8,16628
detail_8,2012-09-29,95.42,,,plantcat_8,16631
detail_9,2015-06-08,97.35,,,plantcat_8,16631
detail_10,2015-06-30,20.34,,,plantcat_8,16631
detail_11,2012-07-12,6.75,,,plantcat_8,12738
detail_12,2017-11-03,2.02,,,plantcat_8,12738
detail_13,2017-12-22,735.9,,,plantcat_8,16634
detail_14,2017-11-15,1,,,plantcat_9,10349
detail_15,2016-07-20,7.42,,,plantcat_8,16642
detail_16,2014-09-08,7.56,,,plantcat_8,17031
detail_17,2012-07-11,9.56,,,plantcat_9,17033
detail_18,2017-11-16,2.33,,,plantcat_9,17033
detail_19,2012-09-22,65,,,plantcat_8,17071
detail_20,2016-03-21,291.5,,,plantcat_8,17071
detail_21,2009-03-18,3.15,,,plantcat_8,9373
detail_22,2011-10-13,2.6,,,plantcat_8,9373
detail_23,2013-12-03,3.24,,,plantcat_8,9373
detail_24,2014-11-26,0.41,,,plantcat_8,9373
detail_25,2015-09-19,0.57,,,plantcat_8,9373
detail_26,2017-12-19,2.7,,,plantcat_9,9915
detail_27,2017-03-16,11.02,,,plantcat_9,16665
detail_28,2012-03-14,36.48,,,plantcat_9,9645
detail_29,2017-12-14,14.97,,,plantcat_9,9645
detail_30,2018-12-03,1.96,,,plantcat_9,12836
detail_31,2017-12-08,7.8,,,plantcat_9,10260
detail_32,2012-09-26,62.4,,,plantcat_8,12839
detail_33,2017-11-29,25.87,,,plantcat_8,12839
detail_34,2015-03-31,47.6,,,plantcat_8,17276
detail_35,2017-12-08,2.18,,,plantcat_9,10695
detail_36,2017-11-30,3.57,,,plantcat_9,17280
detail_37,2015-03-25,5.5,,,plantcat_8,17283
detail_38,2016-09-30,13.3,,,plantcat_8,9703
detail_39,2015-03-12,113.1,,,plantcat_8,17287
detail_40,2015-03-17,2.66,,,plantcat_9,12657
detail_41,2016-03-30,38.5,,,plantcat_8,17289
detail_42,2017-11-17,1.94,,,plantcat_9,17292
detail_43,2013-12-10,8.85,,,plantcat_9,10682
detail_44,2014-05-05,7.92,,,plantcat_8,10682
detail_45,2016-11-22,7.2,,,plantcat_9,10682
detail_46,2016-03-30,357.76,,,plantcat_8,17307
detail_47,2012-09-27,12.8,,,plantcat_8,12166
detail_48,2015-09-29,47.04,,,plantcat_8,12166
detail_49,2011-09-05,29.75,,,plantcat_9,17314
detail_50,2012-08-31,32.34,,,plantcat_9,17314
detail_51,2015-09-23,308.54,,,plantcat_8,12843
detail_52,2015-03-10,11.4,,,plantcat_9,11548
detail_53,2014-06-20,1.63,,,plantcat_9,17332
detail_54,2012-08-17,146.64,,,plantcat_8,17343
detail_55,2014-12-15,25.22,,,plantcat_8,17343
detail_56,2017-12-22,12.28,,,plantcat_9,15614
detail_57,2012-08-31,28.86,,,plantcat_8,17367
detail_58,2017-07-03,120.48,,,plantcat_8,17367
detail_59,2015-03-31,132.86,,,plantcat_8,14782
detail_60,2014-05-06,4.35,,,plantcat_8,14778
detail_61,2012-09-26,380,,,plantcat_8,14761
detail_62,2014-05-15,29.6,,,plantcat_8,14761
detail_63,2015-07-10,12.48,,,plantcat_8,14761
detail_64,2017-08-30,2.65,,,plantcat_9,10763
detail_65,2018-09-28,16.61,,,plantcat_9,14757
detail_66,2016-09-27,117.13,,,plantcat_8,10730
detail_67,2014-12-15,23.76,,,plantcat_8,10783
detail_68,2017-10-02,0.84,,,plantcat_9,14847
detail_69,2017-06-08,4.6,,,plantcat_9,12411
detail_70,2015-09-04,27.83,,,plantcat_8,15285
detail_71,2015-09-30,51.06,,,plantcat_9,15544
detail_72,2015-09-17,89.77,,,plantcat_8,15558
detail_73,2015-09-23,10.1,,,plantcat_8,9880
